GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CH055,447609,450239,452904,455251,457289,458821,459999,461810,465937,471152,474676,478907,483156,487060,491699,495824,499065,502552,504686
CH056,186026,185889,185225,185771,186943,187812,187803,187920,188762,190459,191861,192621,193388,193920,194959,195886,196610,197550,197888
CH057,227285,227481,228206,229904,231836,232978,234332,235764,238316,241811,244805,248444,251973,256213,260278,263733,267429,270709,273801
CH06,676732,682489,688362,694429,699050,703706,708561,713828,722913,733173,739701,749476,757552,765879,774123,782374,790458,799287,806071
CH061,345357,346473,350017,351889,353175,354731,356384,359110,363475,368742,372964,377610,381966,386082,390349,394604,398762,403397,406506
CH062,35487,35190,34992,35209,35118,35083,35087,34948,34989,35162,35335,35422,35382,35693,35865,36008,35973,36145,36299
CH063,128248,128855,131264,133227,134903,135989,137522,138832,141024,143719,144686,146730,147904,149830,151396,152759,154093,155863,157301
CH064,32225,32356,32678,32961,33142,33162,33269,33755,33997,34429,35032,35585,35885,36115,36507,36834,37076,37378,37575
CH065,37657,37810,38389,38736,39070,39497,39803,40012,40287,40737,40794,41024,41311,41584,41888,42080,42420,42556,42969
CH066,97758,99714,101022,102407,103642,105244,106496,107171,109141,110384,110890,113105,115104,116575,118118,120089,122134,123948,125421
CH07,308498,310215,312528,315256,317315,319931,322276,324851,328580,332736,335720,333753,336943,341652,346539,350363,351946,354375,353709
CH070,308498,310215,312528,315256,317315,319931,322276,324851,328580,332736,335720,333753,336943,341652,346539,350363,351946,354375,353709
CY,690497,697549,705539,713720,722893,733067,744013,757916,776333,796930,819140,839751,862011,865878,858000,847008,848319,854802,864236
CY0,690497,697549,705539,713720,722893,733067,744013,757916,776333,796930,819140,839751,862011,865878,858000,847008,848319,854802,864236
CY00,690497,697549,705539,713720,722893,733067,744013,757916,776333,796930,819140,839751,862011,865878,858000,847008,848319,854802,864236
CY000,690497,697549,705539,713720,722893,733067,744013,757916,776333,796930,819140,839751,862011,865878,858000,847008,848319,854802,864236
CZ,10278098,10232027,10201182,10192649,10195347,10198855,10223577,10254233,10343422,10425783,10462088,10486731,10505445,10516125,10512419,10538275,10553843,10578820,10610055
